civilization,start,end,startLabel,endLabel,region,timeline
Адам,0,930,Первый человек,,Человек,I_тисячелетие
Сиф,130,1042,,,Человек,I_тисячелетие
Енос,235,1140,,,Человек,I_тисячелетие
Каинан,325,1235,,,Человек,I_тисячелетие
Малелеил,395,1290,,,Человек,I_тисячелетие
Иаред,460,1422,,,Человек,I_тисячелетие
Енох,622,987,,,Человек,I_тисячелетие
Мафусал,687,1656,,,Человек,I_тисячелетие
Ламех,874,1651,,,Человек,I_тисячелетие
Ной,1056,2006,,,Человек,II_тисячелетие
Ной начал строительство ковчега,1536,1536,,,Событие,II_тисячелетие
Сим Хам и Иафет,1556,2156,,,Человек,II_тисячелетие
Всемирный потоп,1656,1656,,,Событие,II_тисячелетие
Арфаксад,1658,2096,,,Человек,II_тисячелетие
Сала,1693,2126,,,Человек,II_тисячелетие
Евер,1723,2187,,,Человек,II_тисячелетие
Фалек,1757,1996,,,Человек,II_тисячелетие
Рагав,1787,2226,,,Человек,II_тисячелетие
Серух,1819,2051,,,Человек,II_тисячелетие
Нахор,1849,1997,,,Человек,II_тисячелетие
Фарра,1878,2083,,,Человек,II_тисячелетие
Авраам,1948,2123,,,Человек,II_тисячелетие
уход Авраама из Ура,2018,2018,,,Событие,III_тисячелетие
Исаак,2048,2228,,,Человек,III_тисячелетие
жервоприношение Исаака,2085,,,,Событие,III_тисячелетие
родился Исав и Иаков,2108,2255,,,Человек,III_тисячелетие
женидся Исав,2148,,,,Событие,III_тисячелетие
переезд дома Иакова в Египе,2238,,,,Событие,III_тисячелетие
Моисей,2368,,,,Человек,III_тисячелетие
Моисей убегает из Египта,2408,,,,Событие,III_тисячелетие
выход из Египта,2448,,,,Событие,III_тисячелетие
перешли Иордан,2488,,,,Событие,III_тисячелетие
заспределение обетованой земли по жребию,2498,,,,Событие,III_тисячелетие
Воцарение Саула,2844,2884,,,Цари,III_тисячелетие
Давид,2854,,,,Человек,III_тисячелетие
Воцарение Давида,2884,2924,,,Цари,III_тисячелетие
Воцарение Соломона,2924,2964,,,Цари,III_тисячелетие
строительство храма Господу,2928,2935,,,Событие,III_тисячелетие
царствование Ровоама,2964,,,,Цари,III_тисячелетие
Израильское царство распалось,2964,2964,,,Событие,III_тисячелетие

царствование Авия,,,,Цари,III_тисячелетие
царствование Аса
царствование Иосафат
царствование Иорам

Пророчество Исаи о Христе,3206,3208,,,Событие,IV_тисячелетие
конец существования древнего Израильского царства,3223,3223,,,Событие,IV_тисячелетие
Даниил,3322,3322,,,Человек,IV_тисячелетие
Даниила забирают в плен,3336,3336,,,Событие,IV_тисячелетие
разрушение 1-го храма,3358,3358,,,Событие,IV_тисячелетие
Вавилон захвачен войском Кира,3405,3405,,,Событие,IV_тисячелетие
конец 70-тилетнего плена израильского народа,3406,3406,,,Событие,IV_тисячелетие
строительство второго храма,3428,3428,,,Событие,IV_тисячелетие
указ Артарксеркса,3487,3487,,,Событие,IV_тисячелетие
востановление Иерусалима,3536,3536,,,Событие,IV_тисячелетие

2300 летний период,-457,1844,,,Событие,IV_тисячелетие
период 490 лет отведенных евреям,-455,34,,,Событие,IV_тисячелетие
Иерусалим восстановлен,-408,,,,Событие,IV_тисячелетие

Иисус Христос,3941,,,,Мессия,Событие,IV_тисячелетие,Событие,IV_тисячелетие
нулевой год нашей эры,3943,3943,,,Событие,IV_тисячелетие
крещение Иисуса Христа,3970,3970,,,Событие,IV_тисячелетие
начало проповеди язичникам,3977,3977,,,Событие,IV_тисячелетие

побиение камнями дьякона Стефана,34,,,,Событие,IV_тисячелетие

разрушение 2-го храма,4013,4013,,,Событие,V_тисячелетие

1-ый указ о праздновании воскресенья,4266,4266,,,Событие,V_тисячелетие
Лаодикийский Собор запрещает празднование субботнего дня,4307,4307,,,Событие,V_тисячелетие

мерзость запустения,508,,,,Событие,V_тисячелетие

установление системы Папства,4481,,,,Событие,V_тисячелетие

период 1260 лет,538,1798,,,Событие,V_тисячелетие

Дж. Уиклиф,5267,5327,,,Человек,VI_тисячелетие
Ян Гус,5312,5358,,,Человек,VI_тисячелетие
Мартин Лютер,5428,5487,,,Человек,VI_тисячелетие
М. Лютер посетил Рим,5452,5452,,,Событие,VI_тисячелетие
Лютер обнародовал свои 95 тезисов,5459,5459,,,Событие,VI_тисячелетие

папа Римский взят в плен французами,5741,5741,,,Событие,VI_тисячелетие
начало Следственного Суда в Небесном святилище,5787,5787,,,Событие,VI_тисячелетие
Первая мировая война,5857,5857,,,Событие,VI_тисячелетие
Вторая мировая война,5882,5882,,,Событие,VI_тисячелетие

восстановление государства Израиль,1948,,,,Событие,VI_тисячелетие
500-летие Реформации,2018,,,,Событие,VI_тисячелетие
